collected_at,fcltNo,fcltNm,lineNm,stnCd,stnNm,stnNo,crtrYmd,upbdnbSe,mngNo,vcntEntrcNo,bgngFlrGrndUdgdSe,bgngFlr,bgngFlrDtlPstn,endFlrGrndUdgdSe,endFlr,endFlrDtlPstn,elvtrWdthBt,elvtrSn,oprtngSitu
2026-08-07 15:39,1041410,승강기)에스컬레이터-서울역(1) 4호선연결통로 1호기,1호선,0150,서울역,133,20210527,상행,1,내부,지하,B2,연결통로(4호선 방면),지하,B1,연결통로(4호선 방면),800,1800-448,M
2026-08-07 15:39,1127063,승강기)에스컬레이터-제기동 2번출구 하행1,1호선,0157,제기동,125,20210527,하행,1,2,지상,1,2번 출입구,지하,B1,2번 출입구,800,1809-138,M
2026-08-07 15:39,1127064,승강기)에스컬레이터-제기동 2번출구 상행2,1호선,0157,제기동,125,20210527,상행,2,2,지하,B1,2번 출입구,지상,1,2번 출입구,800,1809-139,M
2026-08-07 15:39,1041604,승강기)에스컬레이터-동묘앞(1) 1번출구 7호기,1호선,0159,동묘앞,127,20210527,하행,7,1,지상,1,1번 출입구,지하,B1,1번 출입구,1200,1800-054,M
2026-08-07 15:39,1041605,승강기)에스컬레이터-동묘앞(1) 1번출구 8호기,1호선,0159,동묘앞,127,20210527,상행,8,1,지하,B1,1번 출입구,지상,1,1번 출입구,1200,1800-053,M
2026-08-07 15:39,1041606,승강기)에스컬레이터-동묘앞(1) 2번출구 9호기,1호선,0159,동묘앞,127,20210527,하행,9,2,지상,1,2번 출입구,지하,B1,2번 출입구,1200,1800-058,M
2026-08-07 15:39,1041607,승강기)에스컬레이터-동묘앞(1) 2번출구 10호기,1호선,0159,동묘앞,127,20210527,상행,10,2,지하,B1,2번 출입구,지상,1,2번 출입구,1200,1800-059,M
2026-08-07 15:39,1041608,승강기)에스컬레이터-동묘앞(1) 청량리방향(9-1) 1호기,1호선,0159,동묘앞,127,20210527,하행,1,내부,지하,B2,신설동 방면9-1,지하,B3,신설동 방면9-1,1200,1800-055,M
2026-08-07 15:39,1041609,승강기)에스컬레이터-동묘앞(1) 청량리방향(9-1) 2호기,1호선,0159,동묘앞,127,20210527,상행,2,내부,지하,B3,신설동 방면9-1,지하,B2,신설동 방면9-1,1200,1800-056,M
2026-08-07 15:39,1041610,승강기)에스컬레이터-동묘앞(1) 청량리방향(6-2) 3호기,1호선,0159,동묘앞,127,20210527,하행,3,내부,지하,B1,신설동 방면6-2,지하,B2,신설동 방면6-2,1200,1800-057,M
2026-08-07 15:39,1041611,승강기)에스컬레이터-동묘앞(1) 시청방향(5-4) 4호기,1호선,0159,동묘앞,127,20210527,상행,4,내부,지하,B2,동대문 방면5-4,지하,B1,동대문 방면5-4,1200,1800-060,M
2026-08-07 15:39,1041612,승강기)에스컬레이터-동묘앞(1) 시청방향(2-4) 5호기,1호선,0159,동묘앞,127,20210527,하행,5,내부,지하,B1,동대문 방면2-4,지하,B2,동대문 방면2-4,1200,1800-061,M
2026-08-07 15:39,1041613,승강기)에스컬레이터-동묘앞(1) 시청방향(2-4) 6호기,1호선,0159,동묘앞,127,20210527,상행,6,내부,지하,B2,동대문 방면2-4,지하,B1,동대문 방면2-4,1200,1800-062,S
2026-08-07 15:39,1041614,승강기)에스컬레이터-동묘앞(1) 3번출구 11호기,1호선,0159,동묘앞,127,20210527,하행,11,3,지상,1,3번 출입구,지하,B1,3번 출입구,1200,1800-063,M
2026-08-07 15:39,1041615,승강기)에스컬레이터-동묘앞(1) 3번출구 12호기,1호선,0159,동묘앞,127,20210527,상행,12,3,지하,B1,3번 출입구,지상,1,3번 출입구,1200,1800-064,M
2026-08-07 15:39,1133896,승강기)에스컬레이터-시청(1) 5번출구 1호기,1호선,0151,시청,132,20210527,하행,1,5,지상,1,5번 출입구,지하,B1,5번 출입구,1200,1808-119,M
2026-08-07 15:39,1141455,승강기)에스컬레이터-시청(1) 5번출구 2호기,1호선,0151,시청,132,20210527,상행,2,5,지하,B1,5번 출입구,지상,1,5번 출입구,1200,1808-120,M
2026-08-07 15:39,1143611,승강기)에스컬레이터-시청(1) 1번출구 3호기,1호선,0151,시청,132,20210527,상행,3,1,지하,B1,1번 출입구,지상,1,1번 출입구,1200,1809-239,M
2026-08-07 15:39,1143969,승강기)에스컬레이터-서울(1)역 하행(2-3) 2호기,1호선,0150,서울역,133,20210527,하행,2,내부,지하,B1,"남영 방면2-3,시청 방면9-3",지하,B2,"남영 방면2-3,시청 방면9-3",1200,1806-600,M
2026-08-07 15:39,1143970,승강기)에스컬레이터-서울(1)역 상행(9-3) 3호기,1호선,0150,서울역,133,20210527,상행,3,내부,지하,B2,"시청 방면9-3,남영 방면2-3",지하,B1,"시청 방면9-3,남영 방면2-3",1200,1806-599,M
2026-08-07 15:39,1143982,승강기)에스컬레이터-종로3가(1) 1번출구 1호기,1호선,0153,종로3가,130,20210527,하행,1,1,지상,1,1번 출입구,지하,B1,1번 출입구,1200,1806-432,M
2026-08-07 15:39,1143983,승강기)에스컬레이터-종로3가(1) 14번출구 3호기,1호선,0153,종로3가,130,20210527,하행,3,14,지상,1,14번 출입구,지하,B1,14번 출입구,1200,1806-597,M
2026-08-07 15:39,1143986,승강기)에스컬레이터-동대문(1) 1번 출구 1호기,1호선,0155,동대문,128,20210527,상행,1,1,지하,B1,1번 출입구,지상,1,1번 출입구,1200,1809-225,M
2026-08-07 15:39,1143991,승강기)에스컬레이터-종로3가(1) 1번출구 2호기,1호선,0153,종로3가,130,20210527,상행,2,1,지하,B1,1번 출입구,지상,1,1번 출입구,1200,1806-431,M
2026-08-07 15:39,1143992,승강기)에스컬레이터-종로3가(1) 14번출구 4호기,1호선,0153,종로3가,130,20210527,상행,4,14,지하,B1,14번 출입구,지상,1,14번 출입구,1200,1806-598,M
2026-08-07 15:39,1041718,승강기)에스컬레이터-청량리 6번출구 하행1,1호선,0158,청량리,124,20210527,하행,1,6,지상,1,6번 출입구,지하,B1,6번 출입구,800,1809-136,M
2026-08-07 15:39,1041719,승강기)에스컬레이터-청량리 6번출구 상행2,1호선,0158,청량리,124,20210527,상행,2,6,지하,B1,6번 출입구,지상,1,6번 출입구,800,1809-137,M
2026-08-07 15:39,1547941,승강기)에스컬레이터-서울(1)역 4번출구 4호기,1호선,0150,서울역,133,20210527,하행,4,4,지하,B1,4번 출입구,지상,1,4번 출입구,1200,1810-816,M
2026-08-07 15:39,1547942,승강기)에스컬레이터-서울(1)역 4번출구 5호기,1호선,0150,서울역,133,20210527,상행,5,4,지상,1,4번 출입구,지하,B1,4번 출입구,1200,1810-817,M
2026-08-07 15:39,1153427,승강기)에스컬레이터-청량리 2번출구 하행3,1호선,0158,청량리,124,20210527,하행,3,2,지상,1,2번 출입구,지하,B1,2번 출입구,1200,1806-436,M
2026-08-07 15:39,1153428,승강기)에스컬레이터-청량리 2번출구 상행4,1호선,0158,청량리,124,20210527,상행,4,2,지하,B1,2번 출입구,지상,1,2번 출입구,1200,1806-435,M
2026-08-07 15:39,1202780,승강기)에스컬레이터-종각 1번출구 상행1,1호선,0152,종각,131,20210527,상행,1,1,지상,1,1번 출입구,지하,B1,1번 출입구,1200,1810-730,M
2026-08-07 15:39,1202781,승강기)에스컬레이터-종각 1번출구 상행2,1호선,0152,종각,131,20210527,상행,2,1,지하,B1,1번 출입구,지상,1,1번 출입구,1200,1810-729,M
2026-08-07 15:39,1813079,승강기)에스컬레이터-청량리(1) 5번출구 하행5,1호선,0158,청량리,124,20240828,하행,5,5,지상,1,5번 출입구,지하,B1,5번 출입구,1200,1812-593,M
2026-08-07 15:39,1813080,승강기)에스컬레이터-청량리(1) 5번출구 상행6,1호선,0158,청량리,124,20240828,상행,6,5,지하,B1,5번 출입구,지상,1,5번 출입구,1200,1812-592,M
2026-08-07 15:39,1203543,승강기)에스컬레이터-을지로입구 1번출구 상행6,2호선,0202,을지로입구,202,20210527,상행,6,1,지하,B1,1번 출입구,지상,1,1번 출입구,1200,1800-933,M
2026-08-07 15:39,1041456,승강기)에스컬레이터-역삼 외부 1호기,2호선,0221,역삼,221,20210527,하행,1,내부,지상,1,"대합실(1,2,5,6,7,8번 출입구 방면)",지하,B1,"대합실(1,2,5,6,7,8번 출입구 방면)",1200,1805-221,M
2026-08-07 15:39,1041457,승강기)에스컬레이터-역삼 외부 2호기,2호선,0221,역삼,221,20210527,상행,2,내부,지하,B1,"대합실(1,2,5,6,7,8번 출입구 방면)",지상,1,"대합실(1,2,5,6,7,8번 출입구 방면)",1200,1805-222,M
2026-08-07 15:39,1204327,승강기)에스컬레이터-신촌 6번출구3,2호선,0240,신촌,240,20210527,하행,3,6,지상,1,6번 출입구,지하,B1,6번 출입구,1200,1813-888,M
2026-08-07 15:39,1041458,승강기)에스컬레이터-역삼 외부 3호기,2호선,0221,역삼,221,20210527,하행,3,내부,지상,1,"대합실(1,2,5,6,7,8번 출입구 방면)",지하,B1,"대합실(1,2,5,6,7,8번 출입구 방면)",1200,1805-223,M
2026-08-07 15:39,1204328,승강기)에스컬레이터-신촌 6번출구4,2호선,0240,신촌,240,20210527,상행,4,6,지하,B1,6번 출입구,지상,1,6번 출입구,1200,1813-887,M
2026-08-07 15:39,1041459,승강기)에스컬레이터-역삼 외부 4호기,2호선,0221,역삼,221,20210527,상행,4,내부,지하,B1,"대합실(1,2,5,6,7,8번 출입구 방면)",지상,1,"대합실(1,2,5,6,7,8번 출입구 방면)",1200,1805-224,M
2026-08-07 15:39,1204330,승강기)에스컬레이터-낙성대 5번출구5,2호선,0227,낙성대,227,20210527,하행,5,5,지상,1,5번 출입구,지하,B1,5번 출입구,800,1813-233,M
2026-08-07 15:39,1041466,승강기)에스컬레이터-이대 내부 1호기,2호선,0241,이대,241,20210527,하행,1,내부,지하,B2,"아현 방면9-3, 신촌 방면2-2",지하,B3,"아현 방면9-3, 신촌 방면2-2",1200,1800-770,M
2026-08-07 15:39,1204331,승강기)에스컬레이터-낙성대 5번출구6,2호선,0227,낙성대,227,20210527,상행,6,5,지하,B1,5번 출입구,지상,1,5번 출입구,800,1813-254,M
