collected_at,fcltNo,fcltNm,lineNm,stnCd,stnNm,stnNo,crtrYmd,mngNo,vcntEntrcNo,bgngFlrGrndUdgdSe,bgngFlrDtlPstn,endFlrGrndUdgdSe,endFlrDtlPstn,elvtrSn,oprtngSitu
2026-08-07 15:39,1041408,승강기)무빙워크-종로3가(3) 1호선연결통로 1,3호선,0319,종로3가,329,20210527,1,내부,지하,환승통로(1호선 방면),지하,환승통로(1호선 방면),1800-199,M
2026-08-07 15:39,1041409,승강기)무빙워크-종로3가(3) 5호선연결통로 2,3호선,0319,종로3가,329,20210527,2,내부,지하,환승통로(5호선 방면),지하,환승통로(5호선 방면),1800-200,M
2026-08-07 15:39,1311040,승강기)무빙워크-삼각지(6) 1,6호선,2629,삼각지,628,20210527,1,내부,지하,환승통로(4호선 방면),지하,환승통로(4호선 방면),1800-357,M
2026-08-07 15:39,1311041,승강기)무빙워크-삼각지(6) 2,6호선,2629,삼각지,628,20210527,2,내부,지하,환승통로(4호선 방면),지하,환승통로(4호선 방면),1800-358,M
2026-08-07 15:39,1311042,승강기)무빙워크-삼각지(6) 3,6호선,2629,삼각지,628,20210527,3,내부,지하,환승통로(4호선 방면),지하,환승통로(4호선 방면),1800-359,M
2026-08-07 15:39,1311043,승강기)무빙워크-삼각지(6) 4,6호선,2629,삼각지,628,20210527,4,내부,지하,환승통로(4호선 방면),지하,환승통로(4호선 방면),1800-360,M
2026-08-07 15:39,1311044,승강기)무빙워크-삼각지(6) 5,6호선,2629,삼각지,628,20210527,5,내부,지하,환승통로(4호선 방면),지하,환승통로(4호선 방면),1800-361,M
2026-08-07 15:39,1311045,승강기)무빙워크-삼각지(6) 6,6호선,2629,삼각지,628,20210527,6,내부,지하,환승통로(4호선 방면),지하,환승통로(4호선 방면),1800-695,M
2026-08-07 15:39,1311046,승강기)무빙워크-삼각지(6) 7,6호선,2629,삼각지,628,20210527,7,내부,지하,환승통로(4호선 방면),지하,환승통로(4호선 방면),1800-696,M
2026-08-07 15:39,1311047,승강기)무빙워크-삼각지(6) 8,6호선,2629,삼각지,628,20210527,8,내부,지하,환승통로(4호선 방면),지하,환승통로(4호선 방면),1800-697,M
2026-08-07 15:39,1311136,승강기)무빙워크-신당(6) 1,6호선,2636,신당,635,20210527,1,내부,지하,환승통로(2호선 방면),지하,환승통로(2호선 방면),1800-681,M
2026-08-07 15:39,1311137,승강기)무빙워크-신당(6) 2,6호선,2636,신당,635,20210527,2,내부,지하,환승통로(2호선 방면),지하,환승통로(2호선 방면),1800-682,M
2026-08-07 15:39,1311241,승강기)무빙워크-석계(6) 1,6호선,2645,석계,644,20210527,1,내부,지하,환승통로(1호선 방면),지하,환승통로(1호선 방면),1802-485,M
2026-08-07 15:39,1311242,승강기)무빙워크-석계(6) 2,6호선,2645,석계,644,20210527,2,내부,지하,환승통로(1호선 방면),지하,환승통로(1호선 방면),1802-486,M
2026-08-07 15:39,1311594,승강기)무빙워크-이수(7) 1,7호선,2738,이수,736,20210527,1,내부,지하,환승통로(4호선 방면),지하,환승통로(4호선 방면),1804-197,M
2026-08-07 15:39,1311595,승강기)무빙워크-이수(7) 2,7호선,2738,이수,736,20210527,2,내부,지하,환승통로(4호선 방면),지하,환승통로(4호선 방면),1804-198,M
2026-08-07 15:39,1311784,승강기)무빙워크-온수(7) 1,7호선,2752,온수,750,20210527,1,내부,지하,환승통로(1호선 방면),지하,환승통로(1호선 방면),1803-470,M
2026-08-07 15:39,1311785,승강기)무빙워크-온수(7) 2,7호선,2752,온수,750,20210527,2,내부,지하,환승통로(1호선 방면),지하,환승통로(1호선 방면),1803-471,M
2026-08-09 10:15,1311242,승강기)무빙워크-석계(6) 2,6호선,2645,석계,644,20210527,2,내부,지하,환승통로(1호선 방면),지하,환승통로(1호선 방면),1802-486,S
2026-08-11 10:15,1311043,승강기)무빙워크-삼각지(6) 4,6호선,2629,삼각지,628,20210527,4,내부,지하,환승통로(4호선 방면),지하,환승통로(4호선 방면),1800-360,S
2026-08-17 09:56,1041409,승강기)무빙워크-종로3가(3) 5호선연결통로 2,3호선,0319,종로3가,329,20210527,2,내부,지하,환승통로(5호선 방면),지하,환승통로(5호선 방면),1800-200,S
2026-08-23 09:59,1041408,승강기)무빙워크-종로3가(3) 1호선연결통로 1,3호선,0319,종로3가,329,20210527,1,내부,지하,환승통로(1호선 방면),지하,환승통로(1호선 방면),1800-199,S
2026-09-01 12:09,1311047,승강기)무빙워크-삼각지(6) 8,6호선,2629,삼각지,628,20210527,8,내부,지하,환승통로(4호선 방면),지하,환승통로(4호선 방면),1800-697,S
2026-09-05 11:33,1311136,승강기)무빙워크-신당(6) 1,6호선,2636,신당,635,20210527,1,내부,지하,환승통로(2호선 방면),지하,환승통로(2호선 방면),1800-681,S
2026-09-08 11:40,1311044,승강기)무빙워크-삼각지(6) 5,6호선,2629,삼각지,628,20210527,5,내부,지하,환승통로(4호선 방면),지하,환승통로(4호선 방면),1800-361,S
2026-09-08 11:40,1311046,승강기)무빙워크-삼각지(6) 7,6호선,2629,삼각지,628,20210527,7,내부,지하,환승통로(4호선 방면),지하,환승통로(4호선 방면),1800-696,S
2026-09-16 11:57,1311040,승강기)무빙워크-삼각지(6) 1,6호선,2629,삼각지,628,20210527,1,내부,지하,환승통로(4호선 방면),지하,환승통로(4호선 방면),1800-357,S
2026-09-23 11:56,1311137,승강기)무빙워크-신당(6) 2,6호선,2636,신당,635,20210527,2,내부,지하,환승통로(2호선 방면),지하,환승통로(2호선 방면),1800-682,S
